,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
61089,tt1707821,My Sucky Teen Romance,My Sucky Teen Romance,2011,15-03-11,"Comedy, Fantasy, Horror",77,USA,English,Emily Hagins,Emily Hagins,Cheesy Nuggets Productions,"Elaine Hurt, Patrick Delgado, Santiago Dietche, Lauren Lee, Tony Vespe, Lauren Vunderink, Devin Bonnée, Sam Eidson, Tina Rodriguez, Aaron Morgan, Harry Jay Knowles, Christopher Gonzalez, Rebecca Robinson, Ben Gonzalez, Megan Hagins","In this witty comedy from teen director Emily Hagins, young Kate visits a local comic convention and falls for good-hearted vampire Paul, but her friends are worried when she suddenly starts displaying eerie, undead qualities of her own.",5.1,421,,,,,9,29
61096,tt1708487,Kutty,Kutty,2010,14-01-10,"Action, Drama, Romance",157,India,Tamil,Mithran Jawahar,Sukumar,Gemini Film Circuit,"Vincent Ashokan, Swati Bhatia, Sammir Dattani, Dhanush, Rajyalakshmi, Radha Ravi, Shriya Saran, L. Srinath","Kutty, a kind young man, falls in love with Geeta, but she does not reciprocate his love. He continues to love her even after learning that she is in love with Arjun, her college-mate.",5.1,482,,,$ 110342,,,
61022,tt1701995,Homme au bain,Homme au bain,2010,22-09-10,Drama,72,France,"French, English",Christophe Honoré,Christophe Honoré,Les Films du Bélier,"François Sagat, Omar Ben Sellem, Chiara Mastroianni, Rabah Zahi, Kate Moran, Lahcen Elmazouzi, Andréas Leflamand, Ronald Piwele, Sebastian D'Azeglio, Sébastien Pouderoux, Dennis Cooper, Dustin Segura-Suarez","Between Gennevilliers and New York, Omar and Emmanuel go to great lengths to prove to each other they're no longer in love.",5,913,,,$ 4278,,6,13
61047,tt1703938,Gosa 2,Gosa 2,2010,28-07-10,Horror,84,South Korea,Korean,Seon-Dong Yu,,Core Contents Media,"Ah-Jin Choi, Jeong-eum Hwang, Chang-Wook Ji, Soo-Ro Kim, Hyun-Sang Kwon, Bo-ra Nam, Eun-bin Park, Ji-Yeon Park, Ho Joon Son, Seung-ah Yoon, Shi-Yoon Yoon",Death Bell 2: Bloody Camp is about a group of high school students and teachers who get locked in the school after the swimming instructor is murdered.,5,598,KRW 1100000000,,$ 5198289,,6,10
61081,tt1706625,The Girl Is in Trouble,The Girl Is in Trouble,2015,03-04-15,"Action, Crime, Thriller",90,USA,English,Julius Onah,"Julius Onah, Mayuran Tiruchelvam",Deerjen Films,"Columbus Short, Wilmer Valderrama, Alicja Bachleda, Jesse Spencer, Miriam Colon, Paz de la Huerta, Kareem Savinon, Mike Starr, Tom Pelphrey, Wass Stevens, J. Bernard Calloway, Omer Barnea, Paul Alves, Luis Ayala, Daniel Casanova","A Lower East Side bartender becomes entangled in a murder mystery involving a desperate woman, a missing drug dealer and the scion of a powerful investment firm.",4.9,845,,,,55,8,10
61042,tt1703826,Le café du pont,Le café du pont,2010,04-08-10,"Comedy, Drama, History",95,France,French,Manuel Poirier,"Manuel Poirier, Pierre Perret",Récifilms,"Bernard Campan, Cécile Rebboah, Thomas Durastel, Julien Demarty, Robert Garrouste, Bernard Le Gall, Sacha Bourdo, Loïc Baylacq, Philippe Mangione, Denis Haerens, Philippe Escande, Lucy Harrison, Jean-Louis Reynes, Cédrick Lanoë, Luca Sartori","Ten-year-old Pierrot is just another kid. For the time being, he grows with his younger brother Jeannot in a flat above ""Le Café du Pont"", run by his loving parents, a place that attracts ...",4.8,100,,,,,3,2
61070,tt1705952,Tarzan,Tarzan,2013,06-03-14,"Animation, Adventure, Drama",94,"Germany, USA",English,Reinhard Klooss,"Reinhard Klooss, Jessica Postigo",Constantin Film,"Kellan Lutz, Spencer Locke, Les Bubb, Joe Cappelletti, Brian Huskey, Mark Deklin, Jaime Ray Newman, Robert Capron, Jonathan Morgan Heit, Anton Zetterholm, Jason Hildebrandt, Trevor St. John, Craig Garner, Aaron Kissiov, Michael A. Grimm","Tarzan and Jane Porter face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a plane crash.",4.8,12043,,,$ 44095996,,61,63
61034,tt1703122,Shirome,Shirome,2010,13-08-10,Horror,83,Japan,Japanese,Kôji Shiraishi,Kôji Shiraishi,Shirome Project Partners,"Kanako Momota, Ayaka Sasaki, Akari Hayami, Momoka Ariyasu, Reni Takagi, Eisuke Imani, Masataka Ishizaki, Kenjirô Kamishima, Yûko Sô, Shiori Tamai, Yuki Yoshida",Horror mockumentary about a school haunted by a wish-granting ghost that drags people off into hell if it deems their wish to be impure.,4.7,299,,,,,3,9
61087,tt1707391,4:44 L'ultimo giorno sulla Terra,4:44 Last Day on Earth,2011,19-12-12,"Drama, Fantasy, Sci-Fi",82,"USA, Switzerland, France",English,Abel Ferrara,Abel Ferrara,Fabula,"Shanyn Leigh, Willem Dafoe, Tony Redman, Pat Kiernan, Francis Kuipers, Selena Mars, Justin Restivo, Bojana Vasik, Trung Nguyen, Triana Jackson, Dierdra McDowell, Natasha Lyonne, Anita Pallenberg, Paul Hipp, José Solano",A look at how a painter and a successful actor spend their last day together before the world comes to an end.,4.6,4977,,$ 17801,$ 70851,54,49,78
61043,tt1703911,El callejón,El callejón,2011,14-10-11,"Horror, Thriller",76,"Spain, Mexico, Colombia",Spanish,Antonio Trashorras,Antonio Trashorras,Antena 3 Films,"Ana de Armas, Diego Cadavid, Leonor Varela, Judith Diakhate, Alfonso Rojas, Néstor Alfonso Ortiz, Frey Nicancio Díaz, Kimberley Tell, Paula Estrada, Karina Laverde",A young woman spends a night trapped inside a laundromat with a serial killer.,4.4,806,,,$ 786,,8,29
61092,tt1708427,Huang cun gong yu,Huang cun gong yu,2010,13-08-10,Horror,96,China,Mandarin,Chi-Leung Law,Chi Kwong Cheung,Beijing Poly-bona Film Distribution Company,"Shawn Yue, Yuqi Zhang, Xu Dai, Yang Li, Zefeng Li, Shuhan Liu, Zihan Qin, Yanming Wang",A group of college friends travel to a mysterious village to find a haunted mansion described in a romantic ghost story.,4.3,120,,,$ 3718710,,1,4
